fid,ID,LIVE,MAKE,SHOP,y2,p_land,mh01,mh02,mh03,mh04,mh06,mh07,ALAND
20880,52371345929,,,,46122,46122,,,,,,,1
20881,52371346920,,,,45573,45573,,,,,,,1
20882,52371345931,,,,49007,49007,,,,,,,1
20883,52371345932,,,,48670,48670,,,,,,,1
20884,52371345933,,,,48301,48301,,,,,,,1
20885,52371345934,,,,47901,47901,,,,,,,1
20886,52371345935,,,,47474,47474,,,,,,,1
20887,52371345936,,,,47022,47022,,,,,,,0
20888,52371345937,,,,46547,46547,,,,,,,0
20889,52371345938,,,,46052,46052,,,,,,,1
20890,52371345939,,,,45539,45539,,,,,,,0
20891,52371346930,,,,45010,45010,,,,,,,0
20892,52371345941,,,,48281,48281,,,,,,,1
20893,52371345942,,,,47959,47959,,,,,,,1
20894,52371345943,,,,47606,47606,,,,,,,1
20895,52371345944,,,,47224,47224,,,,,,,1
20896,52371345945,,,,46815,46815,,,,,,,1
20897,52371345946,,,,46381,46381,,,,,,,0
20898,52371345947,,,,45925,45925,,,,,,,0
20899,52371345948,,,,45449,45449,,,,,,,0
20900,52371345949,,,,44955,44955,,,,,,,0
20901,52371346940,,,,44445,44445,,,,,,,0
20902,52371345951,,,,47563,47563,,,,,,,1
20903,52371345952,,,,47256,47256,,,,,,,1
20904,52371345953,,,,46918,46918,,,,,,,1
20905,52371345954,,,,46552,46552,,,,,,,0
20906,52371345955,,,,46160,46160,,,,,,,0
20907,52371345956,,,,45744,45744,,,,,,,0
20908,52371345957,,,,45306,45306,,,,,,,0
20909,52371345958,,,,44848,44848,,,,,,,0
20910,52371345959,,,,44372,44372,,,,,,,0
20911,52371346950,,,,43881,43881,,,,,,,0
20912,52371345961,,,,46853,46853,,,,,,,0
20913,52371345962,,,,46560,46560,,,,,,,0
20914,52371345963,,,,46237,46237,,,,,,,0
20915,52371345964,,,,45887,45887,,,,,,,0
20916,52371345965,,,,45511,45511,,,,,,,0
20917,52371345966,,,,45111,45111,,,,,,,0
20918,52371345967,,,,44690,44690,,,,,,,0
20919,52371345968,,,,44250,44250,,,,,,,0
20920,52371345969,,,,43791,43791,,,,,,,0
20921,52371346960,,,,43317,43317,,,,,,,0
20922,52371345971,,,,46152,46152,,,,,,,1
20923,52371345972,,,,45871,45871,,,,,,,0
20924,52371345973,,,,45562,45562,,,,,,,0
20925,52371345974,,,,45226,45226,,,,,,,0
20926,52371345975,,,,44866,44866,,,,,,,0
20927,52371345976,,,,44482,44482,,,,,,,0
20928,52371345977,,,,44077,44077,,,,,,,0
20929,52371345978,,,,43653,43653,,,,,,,0
20930,52371345979,,,,43212,43212,,,,,,,0
20931,52371346970,,,,42754,42754,,,,,,,0
20932,52371345981,,,,45459,45459,,,,,,,1
20933,52371345982,,,,45190,45190,,,,,,,0
20934,52371345983,,,,44894,44894,,,,,,,0
20935,52371345984,,,,44572,44572,,,,,,,0
20936,52371345985,,,,44226,44226,,,,,,,0
20937,52371345986,,,,43858,43858,,,,,,,0
20938,52371345987,,,,43469,43469,,,,,,,0
20939,52371345988,,,,43061,43061,,,,,,,0
20940,52371345989,,,,42635,42635,,,,,,,0
20941,52371346980,,,,42194,42194,,,,,,,0
20942,52371345991,,,,44775,44775,,,,,,,1
20943,52371345992,,,,44518,44518,,,,,,,0
20944,52371345993,,,,44234,44234,,,,,,,0
20945,52371345994,,,,43925,43925,,,,,,,0
20946,52371345995,,,,43593,43593,,,,,,,0
20947,52371345996,,,,43239,43239,,,,,,,0
20948,52371345997,,,,42865,42865,,,,,,,0
20949,52371345998,,,,42472,42472,,,,,,,0
20950,52371345999,,,,42061,42061,,,,,,,0
20951,52371346990,,,,41635,41635,,,,,,,0
